phone,name,address
,Pquia. Virgen de Urcupiña,Mariano Moreno 3545 Gllen
4912149,Pquia. Sagrado Corazon de Jesus,Cadetes Argentinos 7200 (Km 11) Gllen
,Pquia. Asuncion de la Virgen,Coronel Dorrego 1592 Dorrego Gllen
,San Jose,Bandera de los Andes 655 San Jose Gllen
4220895,Pquia. Inmaculado Corazon de Maria,Urquiza esq. Rutini Coquimbito Mpu
,Pquia. San Agustin,9 de Julio 33 Cdad
,F.A.S.T.A.,Saavedra 349 San Jose Gllen
,Templo Sagrado Corazon (JESUITAS),Colon 65 Mza
,Templo Sagrado Corazon (JESUITAS),Colon 65 Mza
4812825,Pquia. San Jose Obrero (LA FAVORITA),Agustin Filippi s/n
,Pquia. Santa Ana,Copiapò 2361 Gllen
,Pquia. San Miguel Arcangel,San Miguel 1580 Las Heras
,Pquia. Ntra. Sra. de los Dolores,Roque Saenz Peña 464 Mza
,Basilica Menor San Vicente Ferrer,Lavalle 60 Godoy Cruz
4187979,Cristo Rey,Tropero Sosa 593 Guaymallen
,Pquia. Maria Auxiliadora,Severo del Castillo 5047 Los Corralitos Gllen
,Pquia. Ntra. Sra. De la Candelaria,Padre Vazquez y Pte. Peron Maipu
4363416,Pquia. Santa Cruz,Olascoaga 750 Las Heras
4489773,Pquia. Virgen Peregrina (Bº La Gloria),Velez Sarfield 2521 Godoy Cruz
,Pquia. Ntra. Sra. De la Misericordia,J. A. Sucre 2675 Mza
444250,Santuario del Challao,Julio Valecenti 3530
,Capilla Ntra Sra. De Fatima del Algarrobal,Aristobulo del Valle 1166 El Algarrobal Las Heras
,Pquia. Divino Maestro,Las Glicinas esq. Las Magnolias Las Heras
,Pquia. Ntra Sra del Carmen de Cuyo,Las Heras s/n Uspallata
,Pquia. San Fco. De Asis,La Estacion 7754 Agrello Lujan
,Pquia. San Pedro Apostol,Vandor y Alberti Bº Metalurgico Godoy Cruz
