"country","state","city","address","phone","email","whatsapp","web_address","facebook","instagram"
"Ecuador","Pichincha","Quito","Caldas, entre Av. Pichincha y Ríos","999883333","serviciosacerdotaloficialquito@gmail.com","999883333","","",""
"Argentina","Santa Fe","Santa Fe","Rivadavia 5543","0342 155 155 169","ssusantafe.arz@gmail.com","0342 155 155 169","","Servicio Sacerdotal de Urgencia Santa Fe",""
"Argentina","Buenos Aires","Avellaneda - Lanús","Italia 307","1144158330","ssuavellanedalanus@gmail.com","1144158330","","","https://www.instagram.com/ssu.avelan/"
"Argentina","CABA","Buenos Aires","José Evaristo Uriburu 1632, piso 1 A y B, Ciudad de Buenos Aires","011 4801-2000 / alternativo 11 6263-2002","El SSU no posee; usan correo personal","No","","Servicio Sacerdotal de Urgencia de Buenos Aires",""
"Argentina","Córdoba","Córdoba","Montevideo 157, Ciudad de Córdoba (CP 5000)","Fijo: 0351-4210992 / celular: 351-8595025","No posee","351-8595025","En desarrollo","",""
"Argentina","Entre Ríos","Paraná","Su Santidad Francisco 77, Paraná","Fijo: 0343-4221444 / gratuito: 133 / celular: 3436226339","No tienen","3436226339","No tienen","",""
"Argentina","Buenos Aires","La Plata","Avenida 60 N.º 1620 entre 27 y 28","0221 4534242","s.s.u.laplata@gmail.com","","","","https://www.instagram.com/ssulaplata/"
"Argentina","Buenos Aires","Lomas de Zamora","Las Piedras 90, Lomas de Zamora","4243-3333 / 4243-9099-5555 / 4244-9677 int. 1105","ssudelomasdeamora@gmail.com","1153132798","","https://www.facebook.com/SSULOMAS/",""
"Argentina","Buenos Aires","Quilmes","Obispado de Quilmes, Avda. Carlos Pellegrini 1363, Quilmes Oeste","1150411474","ssuquilmes@gmail.com","1150411474","","Ssuq Quilmes",""
"Argentina","Salta","Salta Capital","Bartolomé Mitre 892, 4400 Salta (Capital)","3874502696 / 3876355555","serviciosacerdotalsalta@gmail.com","3874502696 / 3876355555","","Servicio Sacerdotal de Urgencia - Arquidiócesis de Salta",""
"Argentina","San Juan","San Juan","Mitre 230 Oeste, San Juan, Argentina, CP 5400","2644217500","ssusanjuan@gmail.com","2644124911","","https://www.facebook.com/profile.php?id=100064693388","https://www.instagram.com/ssnsanjuan/"
"Argentina","Mendoza","Mendoza","Martín Zapata 374, Ciudad de Mendoza","0261 4253314 / 261 217 1346","ssnmendoza@gmail.com","261 217 1346","","Servicio Sacerdotal Nocturno Mendoza",""
"Argentina","Mendoza","San Rafael","San Juan 944","2604422000","ssnsanrafael@yahoo.com.ar","+54 9 260 4392307","","",""
"Argentina","Tucumán","San Miguel de Tucumán","San Lorenzo 441, San Miguel de Tucumán","4220333 / 3186490","No tiene","No tiene aún","","","https://www.instagram.com/ssutucuman/"
"Argentina","Buenos Aires","Mar del Plata","","54 223 696 5499","s.s.u.mdp@hotmail.com","54 223 696 5499","https://serviciosacerdotal3.wixsite.com/ssumdp","",""
