tipo,nombre,dirección,departamento
Hospital,Hospital Central,Salta y Alem,Capital
Hospital,Hospital Luis Lagomaggiore,Timoteo Gordillo s/n,Capital
Hospital,Hospital Carlos Pereyra,Ituzaingo 2835,Capital
Hospital,Hospital Universitario,Paso de los Andes 3051,Capital
Centro de Salud,Centro de Salud Nº 001 Bº San Martín,Cordon del Plata Sur s/n,Capital
Centro de Salud,Centro de Salud Nº 002 Bº San Antonio,Videla Castillo 2944,Capital
Centro de Salud,Centro de Salud Nº 300 Dr. Arturo Oñativia,Camino Acc. a Papagallos,Capital
Centro de Salud,Centro de Salud Nº 302 Padre Llorens,Bº San Martin MTL13 y 14,Capital
Centro de Salud,Centro de Salud Nº 367 Barrio Andino,Acceso Nro. 1 entre Independencia y 1ro. de Mayo,Capital
Hospital,Hospital José Nestor Lencinas,Talcahuano s/n,Godoy Cruz
Hospital,Micro Hospital Monseñor Miguel De Andrea,Armani 1800,Godoy Cruz
Centro de Salud,Centro de Salud Nº 004 Los Glaciares,Pablo Iglesias 3440,Godoy Cruz
Centro de Salud,Centro de Salud Nº 008 Huarpes,Calle 9 Sur Bº Huarpes II,Godoy Cruz
Centro de Salud,Centro de Salud Nº 027 San Francisco del Monte,Independencia 3,Godoy Cruz
Centro de Salud,Centro de Salud Nº 028 Dr. Juan Maurín Navarro,Cervantes 2686,Godoy Cruz
Centro de Salud,Centro de Salud Nº 029 Villa Jovita,Renato Della Santa 1910,Godoy Cruz
Centro de Salud,Centro de Salud Nº 030 Dr. Aldo Dapás,Colón 339,Godoy Cruz
Centro de Salud,Centro de Salud Nº 134 Padre Jorge Contreras,Las Orquídeas 906,Godoy Cruz
Centro de Salud,Centro de Salud Nº 149 Dr. Ramón Carrillo,Plumerillo 2420,Godoy Cruz
Centro de Salud,Centro de Salud Nº 150 Dr. Daniel Rebollo,Lat. Acc. Sur Ruta 40 Bº La Gloria,Godoy Cruz
Centro de Salud,Centro de Salud Nº 168 Néstor Kirchner,Entre Ríos s/n,Godoy Cruz
Centro de Salud,Centro de Salud Nº 172 Alicia Moreau de Justo,Calle Cabo San Pío MJ C22,Godoy Cruz
Centro de Salud,Centro de Salud Nº 204 Bº Sarmiento,Salvador Arias y Mar del Plata,Godoy Cruz
Centro de Salud,Centro de Salud Nº 304 Bº Fuchs,Laguna de la Niña Encantada,Godoy Cruz
