name,type,address,city,full_address
Hospital Central,Hospital Público,Alem y Salta,Mendoza Capital,"Alem y Salta, Ciudad de Mendoza, Mendoza, Argentina"
Hospital Luis Lagomaggiore,Hospital Público,Guillermo Cano s/n,Mendoza Capital,"Guillermo Cano s/n, Ciudad de Mendoza, Mendoza, Argentina"
Hospital Carlos Pereyra,Hospital Público,Ituzaingó 2831,Mendoza Capital,"Ituzaingó 2831, Ciudad de Mendoza, Mendoza, Argentina"
Hospital Universitario UNCuyo,Hospital Público,Paso de los Andes 3051,Mendoza Capital,"Paso de los Andes 3051, Ciudad de Mendoza, Mendoza, Argentina"
Hospital Italiano,Clínica Privada,Acceso Este 1070,Mendoza Capital,"Acceso Este 1070, Ciudad de Mendoza, Mendoza, Argentina"
Residencia Recuerdos,Geriátrico,25 de Mayo 1036,Mendoza Capital,"25 de Mayo 1036, Ciudad de Mendoza, Mendoza, Argentina"
Casa de Mis Abuelos,Geriátrico,Pedro B. Palacios 270,Mendoza Capital,"Pedro B. Palacios 270, Ciudad de Mendoza, Mendoza, Argentina"
La Casa de mis Padres - Centro Gerontológico,Geriátrico,Paso de los Andes 1497,Mendoza Capital,"Paso de los Andes 1497, Ciudad de Mendoza, Mendoza, Argentina"
El Torreon,Geriátrico,Italia 825,Mendoza Capital,"Italia 825, Ciudad de Mendoza, Mendoza, Argentina"
Hospital José Néstor Lencinas,Hospital Público,Talcahuano s/n,Godoy Cruz,"Talcahuano s/n, Godoy Cruz, Mendoza, Argentina"
Hospital Español,Clínica Privada,San Martín 965,Godoy Cruz,"San Martín 965, Godoy Cruz, Mendoza, Argentina"
Geriátrico El Jardín de Mis Abuelos,Geriátrico,Cerro Trapal 1240,Godoy Cruz,"Cerro Trapal 1240, Godoy Cruz, Mendoza, Argentina"
Geriátrico La Resistencia,Geriátrico,Santiago del Estero 1650,Godoy Cruz,"Santiago del Estero 1650, Godoy Cruz, Mendoza, Argentina"
Manantiales de Amor Residencia,Geriátrico,Benavente J. 840,Godoy Cruz,"Benavente J. 840, Godoy Cruz, Mendoza, Argentina"
Hogar Lorenzo Bordón,Geriátrico,Elena de Roffo 2502,Godoy Cruz,"Elena de Roffo 2502, Godoy Cruz, Mendoza, Argentina"
Hospital Humberto Notti,Hospital Público,Bandera de los Andes 2600,Guaymallén,"Bandera de los Andes 2600, Guaymallén, Mendoza, Argentina"
Hospital El Sauce,Hospital Público,Alfonso XIII s/n,Guaymallén,"Alfonso XIII s/n, Guaymallén, Mendoza, Argentina"
Clínica Santa Rosa,Clínica Privada,Las Heras 742,Guaymallén,"Las Heras 742, San José, Guaymallén, Mendoza, Argentina"
Hogar Mis Nonos I,Geriátrico,Cochabamba 3428,Guaymallén,"Cochabamba 3428, Guaymallén, Mendoza, Argentina"
Geriátrico Nuestra Casa,Geriátrico,Acceso Este 2820,Guaymallén,"Acceso Este 2820, Guaymallén, Mendoza, Argentina"
Hogar Renacimiento,Geriátrico,Adolfo Calle 918,Guaymallén,"Adolfo Calle 918, Guaymallén, Mendoza, Argentina"
Nieves del Tiempo Residencia para Mayores,Geriátrico,Alfonsina Storni 116,Guaymallén,"Alfonsina Storni 116, Guaymallén, Mendoza, Argentina"
Geriátrico Ancianos,Geriátrico,Vélez Sársfield 1188,Guaymallén,"Vélez Sársfield 1188, Guaymallén, Mendoza, Argentina"
Hogar Santa Ana,Geriátrico,Cuyo 1818,Guaymallén,"Cuyo 1818, Guaymallén, Mendoza, Argentina"
Oma Casa Grande,Geriátrico,Rosario 208,Guaymallén,"Rosario 208, Guaymallén, Mendoza, Argentina"
Hospital Diego Paroissien,Hospital Público,Godoy Cruz 551,Maipú,"Godoy Cruz 551, Maipú, Mendoza, Argentina"
Hospital Alfredo Metraux,Hospital Público,España 162,Maipú,"España 162, Fray Luis Beltrán, Maipú, Mendoza, Argentina"
Rucalen Residencia para Mayores,Geriátrico,Falucho 151,Maipú,"Falucho 151, Maipú, Mendoza, Argentina"
